Feature_Set,Model,Best Threshold,Accuracy,Precision,Recall,F1-Score,AUC-ROC,CV F1-Score
Top 15 RF Features,Logistic Regression,0.35,0.656030032848428,0.8688193577828044,0.656030032848428,0.7379588946688331,0.4990678464150451,0.8096
Top 15 RF Features,Decision Tree,0.45,0.8643829188174565,0.8731069897358326,0.8643829188174565,0.8686694467110078,0.493566344521353,0.9107
Top 15 RF Features,Random Forest,0.3,0.8395119662130455,0.8726141748493088,0.8395119662130455,0.8551536517709993,0.5427925427713203,0.9174
Top 15 RF Features,XGBoost,0.2,0.7766306898169874,0.8698258180375129,0.7766306898169874,0.8178116458289353,0.5155135823429542,0.9202
Top 15 RF Features,Gradient Boosting,0.25,0.7939934303144064,0.8699853571870361,0.7939934303144064,0.828227022230054,0.5120004570980802,0.9203
Top 15 DT Features,Logistic Regression,0.4,0.7362740497419052,0.8750973946710293,0.7362740497419052,0.7936007577842469,0.5261558051456184,0.78
Top 15 DT Features,Decision Tree,0.2,0.7860159549507274,0.8690580793196647,0.7860159549507274,0.823219909171331,0.5185173697270471,0.9222
Top 15 DT Features,Random Forest,0.2,0.7508212106992023,0.8742460640226511,0.7508212106992023,0.8028235976583028,0.5687426537808541,0.953
Top 15 DT Features,XGBoost,0.2,0.7808540591271703,0.8690812132726952,0.7808540591271703,0.820145275738214,0.5243861825780332,0.9391
Top 15 DT Features,Gradient Boosting,0.2,0.7423744720788362,0.8714865581692791,0.7423744720788362,0.7968799060243998,0.5366217186887815,0.9199
All Features,Logistic Regression,0.2,0.680431722196152,0.8683809134570679,0.680431722196152,0.7551734753759626,0.5344749902050411,0.9017
All Features,Decision Tree,0.25,0.7864852182074143,0.8691121475971841,0.7864852182074143,0.8235150795255107,0.5098276087240433,0.9252
All Features,Random Forest,0.25,0.8381041764429845,0.8756640445958741,0.8381041764429845,0.855618028227326,0.5812883635888729,0.9598
All Features,XGBoost,0.2,0.8249648052557484,0.873198903009764,0.8249648052557484,0.8472549826016972,0.5590684994123024,0.9531
All Features,Gradient Boosting,0.2,0.7775692163303614,0.8742075333464353,0.7775692163303614,0.8195518924417534,0.5583469374428627,0.947
